product_id,name,category,color,old_price,new_price,old_discount_pct,new_discount_pct,old_in_sale,new_in_sale,price_changed,markdown_changed
2094,Pantalona Flare Preta,Calças,,989.0,989.0,,,False,False,False,False
2095,Pantalona Flare Off-White,Calças,Off White,989.0,989.0,,,False,False,False,False
2116,Pareô Preto,Pareôs,Preto,489.0,489.0,,,False,False,False,False
2117,Pareô Off-White,Pareôs,Off White,489.0,489.0,,,False,False,False,False
2333,Top Orion Branco | Orion Top White,Croppeds,Branco,89.5,89.5,,,False,False,False,False
2672,Pareô Vermelho,Pareôs,Vermelho,429.0,429.0,,,False,False,False,False
2774,Pareô Azul Marinho,Pareôs,Azul Marinho,459.0,459.0,,,False,False,False,False
2777,Pantalona Savoye Off-White,Calças,Off White,929.0,929.0,,,False,False,False,False
2778,Pantalona Savoye Preta,Calças,,929.0,929.0,,,False,False,False,False
3005,Biquíni Bercy Preto,Biquínis,Preto,110.0,110.0,72.12,72.12,True,True,False,False
3006,Biquíni Bercy Pérola,Biquínis,Pérola,110.0,110.0,72.12,72.12,True,True,False,False
3011,Biquíni Malawi Pérola,Biquínis,Pérola,110.0,110.0,71.39,71.39,True,True,False,False
3098,Biquíni Galea Preto,Biquínis,Preto,110.0,110.0,59.93,59.93,True,True,False,False
3135,Cropped Robie Off-White,Croppeds,Off White,394.5,394.5,,,False,False,False,False
3137,Cropped Robie Preto,Croppeds,Preto,394.5,394.5,,,False,False,False,False
3153,Pareô Terracota,Pareôs,Terracota,489.0,489.0,,,False,False,False,False
3193,Biquíni Arenella Preto,Biquínis,Preto,130.0,130.0,59.31,59.31,True,True,False,False
3195,Biquíni Arenella Rosê,Biquínis,Rosê,130.0,130.0,59.31,59.31,True,True,False,False
3196,Biquíni Arenella Off-White,Biquínis,Off White,130.0,130.0,59.31,59.31,True,True,False,False
3197,Biquíni Arenella Azul Marinho,Biquínis,Azul Marinho,130.0,130.0,59.31,59.31,True,True,False,False
3481,Biquíni Azov Preto,Biquínis,Preto,95.0,95.0,60.33,60.33,True,True,False,False
3487,Biquíni Bonneville Preto,Biquínis,Preto,260.0,260.0,60.55,60.55,True,True,False,False
3494,Biquíni Clark Fúcsia,Biquínis,Fúcsia,95.0,95.0,56.72,56.72,True,True,False,False
3498,Biquíni Cyprus Azul Turquesa,Biquínis,Azul Turquesa,95.0,95.0,55.71,55.71,True,True,False,False
3499,Biquíni Cyprus Fúcsia,Biquínis,Fúcsia,95.0,95.0,55.71,55.71,True,True,False,False
3500,Biquíni Cyprus Off-White,Biquínis,Off White,95.0,95.0,55.71,55.71,True,True,False,False
3505,Biquíni Lusty Fúcsia,Biquínis,Fúcsia,95.0,95.0,55.71,55.71,True,True,False,False
3510,Biquíni Menorca Azul Marinho,Biquínis,Azul Marinho,95.0,95.0,56.72,56.72,True,True,False,False
3512,Biquíni Menorca Preto,Biquínis,Preto,95.0,95.0,56.72,56.72,True,True,False,False
3528,Biquíni Sopka Off-White,Biquínis,Off White,95.0,95.0,52.38,52.38,True,True,False,False
3536,Body Alkash Magenta,Bodies,Magenta,239.5,239.5,,,False,False,False,False
3539,Body Alkash Vermelho,Bodies,Vermelho,239.5,239.5,,,False,False,False,False
