product,category,neighbor,neighbor_category,rank,similarity_pct
Biquíni Cyprus Azul Turquesa,Biquínis,Biquíni Menorca Azul Marinho,Biquínis,3,88.15
Biquíni Cyprus Azul Turquesa,Biquínis,Biquíni Clark Fúcsia,Biquínis,4,88.15
Biquíni Cyprus Azul Turquesa,Biquínis,Biquíni Lusty Fúcsia,Biquínis,5,88.14
Biquíni Cyprus Azul Turquesa,Biquínis,Biquíni Cyprus Fúcsia,Biquínis,6,88.14
Biquíni Cyprus Fúcsia,Biquínis,Biquíni Lusty Fúcsia,Biquínis,1,100.0
Biquíni Cyprus Fúcsia,Biquínis,Biquíni Clark Fúcsia,Biquínis,2,99.98
Biquíni Cyprus Fúcsia,Biquínis,Biquíni Menorca Azul Marinho,Biquínis,3,88.15
Biquíni Cyprus Fúcsia,Biquínis,Biquíni Menorca Preto,Biquínis,4,88.15
Biquíni Cyprus Fúcsia,Biquínis,Biquíni Cyprus Azul Turquesa,Biquínis,5,88.14
Biquíni Cyprus Fúcsia,Biquínis,Biquíni Cyprus Off-White,Biquínis,6,88.14
Biquíni Cyprus Off-White,Biquínis,Biquíni Mies Off-White,Biquínis,1,98.51
Biquíni Cyprus Off-White,Biquínis,Biquíni Sopka Off-White,Biquínis,2,94.55
Biquíni Cyprus Off-White,Biquínis,Biquíni Arenella Off-White,Biquínis,3,89.31
Biquíni Cyprus Off-White,Biquínis,Biquíni Menorca Azul Marinho,Biquínis,4,88.15
Biquíni Cyprus Off-White,Biquínis,Biquíni Menorca Preto,Biquínis,5,88.15
Biquíni Cyprus Off-White,Biquínis,Biquíni Clark Fúcsia,Biquínis,6,88.15
Biquíni Dion Preto,Biquínis,Biquíni Marzan Preto,Biquínis,1,100.0
Biquíni Dion Preto,Biquínis,Biquíni Hali Preto,Biquínis,2,100.0
Biquíni Dion Preto,Biquínis,Biquíni Julian Preto,Biquínis,3,99.96
Biquíni Dion Preto,Biquínis,Biquíni Riva Preto,Biquínis,4,98.71
Biquíni Dion Preto,Biquínis,Biquíni Eaton Preto,Biquínis,5,97.74
Biquíni Dion Preto,Biquínis,Biquíni Bercy Preto,Biquínis,6,95.85
Biquíni Duncan Azul,Biquínis,Biquíni Kobe Azul,Biquínis,1,99.99
Biquíni Duncan Azul,Biquínis,Biquíni Hess Pérola,Biquínis,2,87.11
Biquíni Duncan Azul,Biquínis,Biquíni Mies Preto,Biquínis,3,86.89
Biquíni Duncan Azul,Biquínis,Biquíni Mies Azul Turquesa,Biquínis,4,86.89
Biquíni Duncan Azul,Biquínis,Biquíni Mies Off-White,Biquínis,5,86.89
Biquíni Duncan Azul,Biquínis,Biquíni Conti Castanho,Biquínis,6,86.85
Biquíni Duncan Cobre,Biquínis,Biquíni Kobe Cobre,Biquínis,1,99.99
Biquíni Duncan Cobre,Biquínis,Biquíni Peter Cobre,Biquínis,2,94.27
Biquíni Duncan Cobre,Biquínis,Biquíni Miller Cobre,Biquínis,3,94.2
Biquíni Duncan Cobre,Biquínis,Biquíni Capanema Cobre,Biquínis,4,93.78
Biquíni Duncan Cobre,Biquínis,Biquíni Bardi Cobre,Biquínis,5,93.01
Biquíni Duncan Cobre,Biquínis,Biquíni Hess Pérola,Biquínis,6,87.11
